brand,name,type,afterUse,product_t,notable_e,skintype,Sensitive,Combination,Oily,Dry,Normal
kose cosmeport,sekkisei clear wellness uv sunscreen essence gel spf pa,sunscreen,acne triggerirritating,,,normal dry combination,0.0,1.0,0.0,1.0,1.0
vzk,sun protection cream spf antiage,sunscreen,acne triggerirritatingrosaceaeczema,,,dry,0.0,0.0,0.0,1.0,0.0
bed head tigi,like hot heat protection spray heat styling,haircare,reduces large poresantiagingdryingirritatingrosaceaeczema,,,normal dry,0.0,0.0,0.0,1.0,1.0
gehwol,warming balm,bath body,hydratingdryingmay worsen oily skinacne triggerirritatingrosaceaeczema,,,normal dry,0.0,0.0,0.0,1.0,1.0
gehwol,fusskraft red,bath body,may worsen oily skinacne triggerirritatingrosaceaeczema,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
kracie,ichikami smooth sleek shampoo,shampoo,reduces large poresdryingacne triggerirritatingrosacea,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
person covey inc,solbar fifty spf,sunscreen,may worsen oily skinirritatingrosaceaeczema,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
clarins,uv plus antipollution sunscreen spf,sunscreen,brighteningdryingmay worsen oily skinacne triggerirritatingrosaceaeczema,,,normal dry oily combination,0.0,1.0,1.0,1.0,1.0
person covey inc,dhs color safe shampoo,shampoo,reduces large poresdryingirritating,,,normal dry,0.0,0.0,0.0,1.0,1.0
bcl,aha cleansing research oil cleansing pore clear,makeup remover,hydratingreduces large poresdryingacne triggerirritatingrosaceaeczema,,,normal dry,0.0,0.0,0.0,1.0,1.0
nivea,daily essential refreshing facial wash gel,face cleanser,antiagingscar healingbrighteningdryingmay worsen oily skinacne triggerirritating,,,normal dry,0.0,0.0,0.0,1.0,1.0
kracie,tabi yado clear assorted series pack kusatsu noboribetsu hakone beppu,bath body,dryingacne triggerrosaceaeczema,,,normal dry,0.0,0.0,0.0,1.0,1.0
katy perry fragrance,mad potion eau de parfum,fragrance,irritatingrosacea,,,oily,0.0,0.0,1.0,0.0,0.0
bed head tigi,recovery moisturizing shampoo dry hair,shampoo,reduces large poresdryingacne triggerirritatingeczema,,,dry,0.0,0.0,0.0,1.0,0.0
jack black,pure clean daily facial cleanser,face cleanser,dryingacne trigger,,,oily,0.0,0.0,1.0,0.0,0.0
nivea,repair hand cream,hand care,reduces irritationreduces large poresdryingmay worsen oily skinacne triggerirritating,,,normal dry oily combination,0.0,1.0,1.0,1.0,1.0
paris hilton fragrance,siren eau de parfum,fragrance,dryingirritatingrosacea,,,dry oily sensitive,1.0,0.0,1.0,1.0,0.0
wardah,uv shield aqua fresh essence spf pa,sunscreen,reduces irritationirritatingrosaceaeczema,,,normal dry oily combination,0.0,1.0,1.0,1.0,1.0
shiseido,revitalizing treatment softener,toner,reduces large poresdryingirritatingrosacea,,,oily combination sensitive,1.0,1.0,1.0,0.0,0.0
lush,revive hair moisturizer,haircare,may worsen oily skinacne triggerirritating,,,dry oily sensitive,1.0,0.0,1.0,1.0,0.0
ren furterer,lissea smoothing shampoo,shampoo,hydratingreduces large poresdryingmay worsen oily skinacne triggerirritatingeczema,,,dry oily sensitive,1.0,0.0,1.0,1.0,0.0
lakme,blush glow strawberry freshness gel face wash strawberry extract,face cleanser,reduces large poresdryingmay worsen oily skinacne triggerirritatingrosaceaeczema,,,normal dry,0.0,0.0,0.0,1.0,1.0
king shave,refreshing face wash,face cleanser,reduces large poresdryingirritatingeczema,,,dry oily sensitive,1.0,0.0,1.0,1.0,0.0
mane tail,herbal gro conditioner,conditioner,hydratingreduces irritationreduces large poresdryingacne triggerirritating,,,dry oily sensitive,1.0,0.0,1.0,1.0,0.0
pantene,minute miracle moisture renewal daily intensive conditioner biotin,conditioner,reduces irritationreduces large poresdryingirritatingeczema,,,dry oily sensitive,1.0,0.0,1.0,1.0,0.0
dr oracle,athera sunblock spf,sunscreen,good oily skinredness reducingbrighteningdryingmay worsen oily skinacne triggerirritatingrosaceaeczema,,,dry,0.0,0.0,0.0,1.0,0.0
uriage,rosliane cc cream spf,face makeup,brighteningacne triggerirritatingrosaceaeczema,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
neutrogena,revitalizing lip balm spf,lip moisturizer,may worsen oily skinacne triggerirritatingeczema,,,dry,0.0,0.0,0.0,1.0,0.0
neutrogena,pure free baby sunscreen stick spf,sunscreen,may worsen oily skinacne triggereczema,,,dry,0.0,0.0,0.0,1.0,0.0
blistex,deep renewal lip balm,lip moisturizer,antiagingbrighteningmay worsen oily skinacne triggerirritatingrosaceaeczema,,,normal dry combination,0.0,1.0,0.0,1.0,1.0
eau thermale avne,cicalfate lip repair balm,lip moisturizer,may worsen oily skinacne trigger,,,oily,0.0,0.0,1.0,0.0,0.0
ryor,denn krm amarantovm olejem hedvbm,day moisturizer,reduces large poresantiagingdryingmay worsen oily skinacne triggerirritatingrosaceaeczema,,,oily,0.0,0.0,1.0,0.0,0.0
ryor,vivn krm exclusive,general moisturizer,reduces large poresantiagingdryingmay worsen oily skinacne triggerirritatingrosaceaeczema,,,oily,0.0,0.0,1.0,0.0,0.0
bed head tigi,dirty secret instant refresh dry shampoo,shampoo,acne triggereczema,,,normal dry combination,0.0,1.0,0.0,1.0,1.0
tory burch,divine moon eau de parfum,fragrance,irritatingrosacea,,,oily,0.0,0.0,1.0,0.0,0.0
aveeno,hydrocortisone antiitch cream,facial treatment,reduces large poresbrighteningdryingacne triggerirritating,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
peter thomas roth,acne clearing wash,face cleanser,reduces irritationreduces large poresbrighteningdryingacne triggerirritatingrosacea,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
laneige,moisturizing cream cleanser,face cleanser,brighteningdryingmay worsen oily skinacne triggereczema,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
laneige,skin veil luminizing base spf,face makeup,good oily skinredness reducingacne fightingbrighteningdryingmay worsen oily skinacne triggerirritatingeczema,,,dry,0.0,0.0,0.0,1.0,0.0
vichy,liftactiv supreme,general moisturizer,reduces large poresdryingmay worsen oily skinacne triggerirritatingrosacea,,,oily,0.0,0.0,1.0,0.0,0.0
armani beauty,luminous silk perfect glow flawless oilfree foundation,face makeup,,,,normal dry combination,0.0,1.0,0.0,1.0,1.0
skinfood,sunflower airy sun stick spf pa,sunscreen,antiagingscar healingbrighteningmay worsen oily skinirritatingrosaceaeczema,,,oily,0.0,0.0,1.0,0.0,0.0
anne french,deep cleansing milk,face cleanser,may worsen oily skineczema,,,normal dry oily combination,0.0,1.0,1.0,1.0,1.0
ryor,vivn krm prodnmi oleji,general moisturizer,reduces large poresantiagingdryingmay worsen oily skinacne triggerirritatingrosaceaeczema,,,dry,0.0,0.0,0.0,1.0,0.0
chanel,le blanc intense brightening foam cleanser,face cleanser,dryingmay worsen oily skinacne triggereczema,,,normal dry oily combination,0.0,1.0,1.0,1.0,1.0
neutrogena,deep clean invigorating foaming scrub,exfoliator,dryingmay worsen oily skinrosacea,,,dry,0.0,0.0,0.0,1.0,0.0
krastase,discipline heat protecting leavein treatment frizzy hair,haircare,may worsen oily skin,,,dry,0.0,0.0,0.0,1.0,0.0
ligne st barth,extra mild shampoo spirulina,shampoo,dryingacne trigger,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
omorovicza,moor cream cleanser,face cleanser,antiagingscar healingbrighteningmay worsen oily skinacne triggerirritatingrosaceaeczema,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
dove,deep moisture body face wash,face cleanser,reduces large poresdryingmay worsen oily skinacne triggerirritating,,,oily,0.0,0.0,1.0,0.0,0.0
aveeno,skin relief intense moisture repair cream,general moisturizer,redness reducingantiagingmay worsen oily skinacne trigger,,,oily sensitive,1.0,0.0,1.0,0.0,0.0
loreal,elvive repairing shampoo protein,shampoo,good oily skinreduces large poresacne fightingbrighteningdryingmay worsen oily skinacne triggerirritatingeczema,,,oily,0.0,0.0,1.0,0.0,0.0
mariestellamaris,poivre noir frais body wash,bath body,reduces large poresdryingacne triggerirritatingeczema,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
loreal,elvive extraordinary oil conditioner,conditioner,brighteningacne triggereczema,,,oily combination,0.0,1.0,1.0,0.0,0.0
schwarzkopf professional,osis topped gentle hold mousse,haircare,reduces irritationreduces large poresantiagingdryingacne triggerirritatingrosaceaeczema,,,oily combination,0.0,1.0,1.0,0.0,0.0
kiko milano,smart charge drop,serum,brighteningrosaceaeczema,,,oily combination sensitive,1.0,1.0,1.0,0.0,0.0
verb,dry shampoo dark hair,shampoo,dryingmay worsen oily skinacne triggereczema,,,oily combination sensitive,1.0,1.0,1.0,0.0,0.0
lancme,rnergie lift multiaction eye,eye moisturizer,may worsen oily skinacne triggereczema,,,oily,0.0,0.0,1.0,0.0,0.0
missha,around safe block waterproof sun milk spfpa,sunscreen,brighteningmay worsen oily skinacne triggerrosaceaeczema,,,normal dry,0.0,0.0,0.0,1.0,1.0
soap glory,smoothie star exfoliating breakfast body scrub,bath body,reduces large poresscar healingdryingacne triggerirritatingeczema,,,oily,0.0,0.0,1.0,0.0,0.0
dove,mencare clean comfort body face wash,bath body,reduces large poresdryingmay worsen oily skinacne triggerirritating,,,normal dry oily combination,0.0,1.0,1.0,1.0,1.0
isispharma,ruboril expert spf,sunscreen,reduces irritationdryingirritatingrosaceaeczema,,,oily,0.0,0.0,1.0,0.0,0.0
nivea,aqua sensation invigorating day cream,day moisturizer,redness reducingantiagingacne triggerirritatingrosacea,,,oily,0.0,0.0,1.0,0.0,0.0
nivea,uv face antiage sun cream spf,sunscreen,brighteningdryingacne triggerirritatingrosacea,,,oily,0.0,0.0,1.0,0.0,0.0
ultra violette,queen screen lightweight skinscreen spf,sunscreen,reduces large poresdryingacne triggerirritatingrosaceaeczema,,,oily,0.0,0.0,1.0,0.0,0.0
joico,zero heat air dry styling crme finemedium hair,haircare,reduces large poresdryingirritatingrosacea,,,oily,0.0,0.0,1.0,0.0,0.0
emma hardie,protect prime spf,sunscreen,brighteningmay worsen oily skinirritatingrosaceaeczema,,,oily,0.0,0.0,1.0,0.0,0.0
nivea,uv face antiage antipigment sun cream spf,sunscreen,brighteningdryingacne triggerirritatingrosacea,,,oily,0.0,0.0,1.0,0.0,0.0
queen helene,cocoa butter hand body lotion,bath body,dryingmay worsen oily skinacne triggerirritatingeczema,,,oily,0.0,0.0,1.0,0.0,0.0
neutrogena,ultra light face cleansing oil makeup remover,makeup remover,may worsen oily skinacne trigger,,,dry,0.0,0.0,0.0,1.0,0.0
cetaphil,moisturizing relief body wash,bath body,hydratingdryingmay worsen oily skinacne trigger,,,oily,0.0,0.0,1.0,0.0,0.0
watson,soothing foam cleanser cica sunflower,face cleanser,redness reducingreduces large poresdryingmay worsen oily skinacne triggerirritating,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
body shop,vitamin moistureprotect emulsion spf,day moisturizer,brighteningacne triggerirritatingrosaceaeczema,,,normal dry oily sensitive,1.0,0.0,1.0,1.0,1.0
chanel,bleu de chanel shave lotion,bath body,reduces large poresdryingirritatingrosacea,,,oily sensitive,1.0,0.0,1.0,0.0,0.0
botanics,organic day cream,day moisturizer,reduces large poresdryingacne triggerirritating,,,oily combination sensitive,1.0,1.0,1.0,0.0,0.0
esfolio,rose essence mask sheet,sheet mask,rosacea,,,normal dry,0.0,0.0,0.0,1.0,1.0
creed,aventus shower gel,bath body,reduces large poresdryingacne triggerirritating,,,oily,0.0,0.0,1.0,0.0,0.0
innisfree,olive real cleansing foam,face cleanser,dryingmay worsen oily skinacne triggerrosaceaeczema,,,dry,0.0,0.0,0.0,1.0,0.0
loreal,volume million lash,eye makeup,dryingmay worsen oily skineczema,,,dry,0.0,0.0,0.0,1.0,0.0
loreal,sublime bronze selftanning lotion,tanning,antiagingscar healingbrighteningacne triggerirritating,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
symbiosis london,enlightening exfoliating cleansing gel,face cleanser,reduces large poresdryingacne triggerirritatingrosacea,,,oily,0.0,0.0,1.0,0.0,0.0
paul mitchell,original awapuhi shampoo,shampoo,reduces large poresdryingacne triggerirritatingeczema,,,oily,0.0,0.0,1.0,0.0,0.0
elizabeth arden,eight hour cream sun defense face spf sunscreen,sunscreen,antiagingscar healingbrighteningirritatingeczema,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
peter thomas roth,hungarian thermal water mineralrich atomic heat mask,wet mask,antiagingscar healingbrighteningacne triggerirritatingeczema,,,dry,0.0,0.0,0.0,1.0,0.0
sebastian professional,whipped crme hair styling cream curly wavy hair,haircare,reduces irritationmay worsen oily skinacne trigger,,,dry,0.0,0.0,0.0,1.0,0.0
mielle organic,babassu conditioning sulfatefree shampoo,shampoo,reduces large poresdryingirritatingeczema,,,oily,0.0,0.0,1.0,0.0,0.0
skinfood,lettuce cucumber watery emulsion,emulsion,may worsen oily skinacne triggerrosacea,,,oily,0.0,0.0,1.0,0.0,0.0
sudocrem,antiseptic healing cream,facial treatment,reduces large poresdryingmay worsen oily skinirritating,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
missha,perfect cover bb cream spf,general moisturizer,redness reducingreduces irritationantiagingscar healingdryingmay worsen oily skinacne triggerirritating,,,dry,0.0,0.0,0.0,1.0,0.0
eucerin,daily protection face lotion broad spectrum spf,day moisturizer,redness reducingreduces large poresantiagingdryingacne triggerirritatingrosaceaeczema,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
strivectin,peptight tightening neck serum roller,serum,antiagingscar healingbrighteningdryingacne triggerirritatingrosaceaeczema,,,normal dry oily combination,0.0,1.0,1.0,1.0,1.0
clarins,gentle foaming cleanser tamarind,face cleanser,may worsen oily skin,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
suave,invisible solid antiperspirant deodorant cocoa butter shea,bath body,may worsen oily skinacne trigger,,,dry,0.0,0.0,0.0,1.0,0.0
lush,comingle,bath body,reduces large poresdryingmay worsen oily skinacne triggerirritating,,,oily,0.0,0.0,1.0,0.0,0.0
,silk express miracle silk shampoo,shampoo,reduces irritationreduces large poresdryingmay worsen oily skinirritatingeczema,,,dry,0.0,0.0,0.0,1.0,0.0
versace,bright crystal body lotion,bath body,acne trigger,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
yves saint laurent,touche eclat allinone glow foundation sand,face makeup,reduces irritationbrighteningdryingacne triggerirritating,,,dry,0.0,0.0,0.0,1.0,0.0
amika,supernova moisture shine cream,haircare,reduces large poresdryingacne triggerirritatingeczema,,,dry,0.0,0.0,0.0,1.0,0.0
exuviance,achieve lift volumizing concentrate,facial treatment,reduces large poresantiagingdryingacne triggerirritatingrosaceaeczema,,,oily combination sensitive,1.0,1.0,1.0,0.0,0.0
face shop,rice water bright cleansing wipe,makeup remover,dryingacne trigger,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
armani beauty,power fabric foundation spf medium tan neutral undertone,face makeup,brighteningirritatingeczema,,,sensitive,1.0,0.0,0.0,0.0,0.0
esfolio,egg cleansing foam,face cleanser,dryingmay worsen oily skinacne trigger,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
omi brotherhood,sun bear active protect milk spf pa,sunscreen,brighteningacne triggerirritatingeczema,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
amika,supernova blonde moisture shine cream,haircare,reduces large poresdryingacne triggerirritatingeczema,,,oily,0.0,0.0,1.0,0.0,0.0
hawaiian tropic,aloha care protective face lotion,sunscreen,dryingacne triggerirritatingrosaceaeczema,,,normal dry oily sensitive,1.0,0.0,1.0,1.0,1.0
dernier cosmetic,sun care coco spf,sunscreen,may worsen oily skinacne triggerirritatingeczema,,,normal oily,0.0,0.0,1.0,0.0,1.0
nexxus,ultralight smooth weightless protection conditioner,conditioner,reduces large poresantiagingbrighteningdryingacne triggerirritatingrosaceaeczema,,,normal dry,0.0,0.0,0.0,1.0,1.0
cetaphil,smoothing relief exfoliating body wash,bath body,good oily skinreduces large poresacne fightingbrighteningdryingmay worsen oily skinacne triggerirritatingrosaceaeczema,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
kose cosmeport,suncut uv perfect essence super waterproof spf pa,sunscreen,hydratingreduces irritationantiagingirritatingrosaceaeczema,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
lancme,tonique douceur softening hydrating toner rose water,toner,,,,dry,0.0,0.0,0.0,1.0,0.0
aquolina,pink sugar eau de toilette,fragrance,irritatingrosacea,,,normal dry,0.0,0.0,0.0,1.0,1.0
vzk,soothing cream problematic skin,general moisturizer,reduces large poresantiagingdryingmay worsen oily skinacne triggerirritatingrosaceaeczema,,,normal dry,0.0,0.0,0.0,1.0,1.0
essano,vitamin brightening spf moisturiser,day moisturizer,reduces large poresdryingacne triggerirritatingrosaceaeczema,,,dry,0.0,0.0,0.0,1.0,0.0
avon product,aromatherapy overnight face mask,overnight mask,eczema,,,oily,0.0,0.0,1.0,0.0,0.0
nivea,power antiwrinkle pore minimising day cream spf,day moisturizer,hydratingdryingacne triggerirritatingrosaceaeczema,,,oily,0.0,0.0,1.0,0.0,0.0
botanics,shine away day cream spf,day moisturizer,reduces large poresbrighteningdryingacne triggerirritatingeczema,,,oily,0.0,0.0,1.0,0.0,0.0
iope,men antiaging emulsion,emulsion,may worsen oily skinrosaceaeczema,,,oily,0.0,0.0,1.0,0.0,0.0
dove,body love intense care body lotion,bath body,may worsen oily skin,,,oily sensitive,1.0,0.0,1.0,0.0,0.0
matrix,unbreak blonde sulfatefree strengthening conditioner,conditioner,reduces large poresdryingacne triggerirritating,,,dry,0.0,0.0,0.0,1.0,0.0
saem,saemmul perfect pore primer,makeup applicator,acne triggereczema,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
nexxus,humectress ultimate moisture conditioner dry hair,conditioner,reduces large poresantiagingdryingacne triggerirritatingrosaceaeczema,,,normal dry oily combination,0.0,1.0,1.0,1.0,1.0
holika holika,daily fresh olive lip eye remover,makeup remover,dryingacne trigger,,,oily,0.0,0.0,1.0,0.0,0.0
body shop,skin defence multi protection light essence spf pa,sunscreen,reduces large poresdryingacne triggerirritatingrosaceaeczema,,,oily sensitive,1.0,0.0,1.0,0.0,0.0
britney spear fragrance,vip private show eau de parfum,fragrance,dryingirritatingrosacea,,,normal dry oily combination,0.0,1.0,1.0,1.0,1.0
sekkisui,white washing cream,face cleanser,may worsen oily skinacne triggerrosacea,,,oily,0.0,0.0,1.0,0.0,0.0
dove,body love age embrace body cleanser,bath body,reduces large poresdryingmay worsen oily skinacne triggerirritating,,,normal dry oily combination,0.0,1.0,1.0,1.0,1.0
gehwol,med callus cream,bath body,hydratingacne triggerrosacea,,,oily combination sensitive,1.0,1.0,1.0,0.0,0.0
lancme,teint idole ultra long wear matte foundation,face makeup,dryingmay worsen oily skinacne trigger,,,oily,0.0,0.0,1.0,0.0,0.0
anjo,sun cream spf pa,sunscreen,brighteningdryingmay worsen oily skinacne triggerirritating,,,oily,0.0,0.0,1.0,0.0,0.0
natura siberica,tuva siberica yak milk nourishing body butter,bath body,reduces irritationacne trigger,,,oily,0.0,0.0,1.0,0.0,0.0
redken,acidic bonding concentrate conditioner,conditioner,reduces large poresdryingacne triggerirritating,,,oily,0.0,0.0,1.0,0.0,0.0
paul mitchell,super skinny conditioner,conditioner,hydratingreduces large poresdryingacne triggerirritatingrosaceaeczema,,,oily,0.0,0.0,1.0,0.0,0.0
raw sugar,simply hand wash lemon sugar,hand care,reduces large poresdryingacne triggerirritating,,,sensitive,1.0,0.0,0.0,0.0,0.0
face shop,white seed exfoliating foam cleanser,face cleanser,dryingmay worsen oily skinacne triggerirritatingeczema,,,dry,0.0,0.0,0.0,1.0,0.0
scinic,enjoy super active airy sun stick spf pa,sunscreen,scar healingacne triggerirritatingrosaceaeczema,,,dry sensitive,1.0,0.0,0.0,1.0,0.0
victoria beauty,rose bulgaria hyaluron cleansing face gel,face cleanser,reduces irritationreduces large poresdryingacne triggerirritatingrosaceaeczema,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
aveeno,protect hydrate face sunscreen lotion spf,sunscreen,may worsen oily skinirritatingrosaceaeczema,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
farm stay,green tea seed moisture sunscreen spf pa,sunscreen,redness reducingreduces irritationantiagingdryingmay worsen oily skinacne triggerirritatingrosacea,,,oily,0.0,0.0,1.0,0.0,0.0
epionce,ultra shield lotion spf,sunscreen,reduces large poresdryingacne triggerirritatingrosacea,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
solimo,sheer facial sunscreen lotion spf,sunscreen,irritatingrosaceaeczema,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
dr hauschka,melissa day cream,day moisturizer,acne triggerrosacea,,,oily,0.0,0.0,1.0,0.0,0.0
tazorac,tazorac tazarotene cream,facial treatment,dryingmay worsen oily skinacne trigger,,,oily sensitive,1.0,0.0,1.0,0.0,0.0
nivea,purify bio aloe vera organic rice scrub,exfoliator,reduces irritationdryingacne trigger,,,normal dry oily combination,0.0,1.0,1.0,1.0,1.0
vaseline,rosy tinted lip balm,lip moisturizer,dryingmay worsen oily skinacne trigger,,,normal oily,0.0,0.0,1.0,0.0,1.0
knours,facial cleanser,face cleanser,reduces large poresdryingacne triggerirritatingrosacea,,,normal combination,0.0,1.0,0.0,0.0,1.0
bumble bumble,bondbuilding repair shampoo,shampoo,reduces irritationreduces large poresscar healingdryingacne triggerirritatingrosaceaeczema,,,normal dry oily sensitive,1.0,0.0,1.0,1.0,1.0
chanel,coco mademoiselle eau de parfum spray,fragrance,irritatingrosacea,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
nivea,creme facial nutritivo,day moisturizer,acne trigger,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
sun bum,original spf clear zinc,sunscreen,brighteningmay worsen oily skinacne triggerirritatingrosaceaeczema,,,normal dry oily sensitive,1.0,0.0,1.0,1.0,1.0
loreal,revitalift hyaluronic acid plumping gel cleanser,face cleanser,brighteningmay worsen oily skinacne triggereczema,,,normal dry combination,0.0,1.0,0.0,1.0,1.0
joico,hydrasplash replenishing leavein,haircare,reduces large poresdryingacne triggerirritating,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
equate,scalp care super daily shampoo green tea apple,shampoo,reduces irritationreduces large poresdryingirritatingeczema,,,normal dry oily combination,0.0,1.0,1.0,1.0,1.0
victoria beauty,regenerating face mask snail extract,wet mask,reduces irritationmay worsen oily skinacne triggerrosacea,,,dry oily sensitive,1.0,0.0,1.0,1.0,0.0
propyless,kutan emulsion,emulsion,may worsen oily skin,,,normal dry oily combination,0.0,1.0,1.0,1.0,1.0
nivea,hidratante facial noturno,night moisturizer,reduces irritationacne trigger,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
eucerin,redness relief night creme,night moisturizer,reduces irritationacne trigger,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
amika,bust brass cool blonde shampoo,shampoo,hydratingreduces irritationreduces large poresdryingmay worsen oily skinacne triggerirritatingeczema,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
britney spear fragrance,electric fantasy eau de toilette,fragrance,irritatingrosacea,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
himalaya,moisturizing argan oil scrub,exfoliator,acne trigger,,,oily,0.0,0.0,1.0,0.0,0.0
keep anchored,shampoo men,shampoo,dryingrosaceaeczema,,,dry oily sensitive,1.0,0.0,1.0,1.0,0.0
shiseido,urea body milk,bath body,may worsen oily skinacne triggerrosacea,,,dry oily sensitive,1.0,0.0,1.0,1.0,0.0
